1,3,Accurate,
3,2,Active,"becoming actively involved, stand up"
4,3,Adaptable,"being flexible when things change. manage multiple assignments and tasks, set priorities, adapt to changing conditions, adapt to work assignments. adapting new procedures"
9,2,Adventurous,
10,1,Advising People,
11,2,Affectionate,
12,2,Aggressive,Aggressive
13,2,Alert,
14,2,Ambitious,
15,1,Analyze Data Or Facts,
17,1,Analyzing Problems,
18,3,Anticipate Needs,
19,3,Arrange Social Functions,
20,3,Articulate,
21,1,Artistic,
23,1,Assemble Or Make Things,Alert
24,1,Assembling Apparatus,
25,2,Assertive,
26,2,Attractive,
27,1,Audit Records,
28,1,Auditing Financial Reports,
29,1,Balance Money,
30,1,Basic Accounting,
31,1,Becoming Actively Involved,
32,1,Being Thorough,
33,2,Bold,
34,2,Broad-Minded,
35,1,Budgeting Expenses,
36,1,"Build, Observe, Inspect Things",
37,2,Businesslike,
38,1,"Calculate, Compute",
39,1,Calculating Numerical Data,
40,2,Calm,
41,3,Care For,
42,2,Careful,
43,3,Caring,
44,2,Cautious,
45,2,Charming,
46,1,Checking For Accuracy,
47,2,Cheerful,
48,1,Classify Data,
49,1,Classifying Records,
50,2,Clear-Thinking,
51,2,Clever,
52,1,Coaching Individuals,
53,1,Collaborating Ideas,
54,1,Collecting Money,
55,3,Communicate Verbally,"Writes clearly and concisely, speaks effectively, listens attentively, openly expresses ideas, negotiates/resolves differences, leads group discussions, provides feedback, persuades others, provides well-thought out solutions, gathers appropriate information, confidently speaks in public"
56,1,"Compare, Inspect, Or Record Facts",
57,1,Comparing Results,
58,2,Competent,
59,2,Competitive,
60,1,Compiling Statistics,
61,1,Comprehending Ideas,
62,1,Conducting Interviews,
63,1,Conducting Meetings,
64,2,Confident,
65,3,Confront Others,
66,1,Confronting Other People,
67,2,Conscientious,
68,2,Conservative,
69,2,Considerate,
70,1,Construct Or Repair,
71,1,Constructing Buildings,
72,2,Cool,
73,2,Cooperative,
74,1,Coordinating Schedules/Times,
75,1,Coping With Deadlines,
76,3,Counsel People,
77,1,Counseling/Consulting People,
78,1,"Count, Observe, Compile",
79,2,Courageous,
80,1,Create New Ideas,
81,1,Creating Meaningful And Challenging Work,
82,1,Creating New Ideas,
83,2,Creative,
84,1,"Creative, Artistic",
85,1,Critical Thinking,
86,2,Curiosity,
87,2,Curious,
88,2,"Dance, Body Movement",
89,2,Daring,
90,1,Dealing With Data,
91,1,Deciding Uses Of Money,
92,3,Decision Making,
93,2,Decisive,
94,1,Defining A Problem,
95,1,Defining Performance Standards,
96,3,Delegate,
97,1,Delegating Responsibilities,
98,1,Delegating Responsibility,
99,2,Deliberate,
100,2,Democratic,
101,3,Demonstrate Something,
102,2,Dependable,
103,1,Design,
104,1,Detail-Oriented,
105,2,Determined,
106,1,Determining A Problem,
107,1,"Developing A Climate Of Enthusiasm, Teamwork, And Cooperation",
108,1,Developing Plans For Projects,
109,2,Dignified,
110,3,Diplomatic,
111,1,Direct Others,
112,1,Direct Projects,
113,2,Discreet,
114,1,Dispensing Information,
115,1,Displaying Artistic Ideas,
116,1,Distributing Products,
117,2,Dominant,
118,1,Drafting Reports,
119,1,Dramatizing Ideas,
120,1,"Draw, Sketch, Render",
121,1,Drive Or Operate Vehicles,
122,2,Eager,
123,2,Easygoing,
124,1,Edit,
125,1,Editing Work,
126,2,Efficient,
127,2,Emotional,
128,3,Empowering Others,
129,1,Encouraging Others,
130,1,Enduring Long Hours,
131,2,Energetic,
132,1,Enforcing Rules And Regulations,
133,2,Enterprising,
134,1,Entertaining People,
135,2,Enthusiastic,
