id	type id		subgoal	description
1	1	advising people	\N	\N
2	1	analyze data or facts	\N	\N
3	1	analyzing problems	\N	\N
4	1	artistic	\N	\N
5	1	assembling apparatus	\N	\N
6	1	audit records	\N	\N
7	1	auditing financial reports	\N	\N
8	1	balance money	\N	\N
9	1	basic accounting	\N	\N
10	1	becoming actively involved	\N	\N
11	1	being thorough	\N	\N
12	1	budgeting expenses	\N	\N
13	1	"build, observe, inspect things"	\N	\N
14	1	"calculate, compute"	\N	\N
15	1	calculating numerical data	\N	\N
16	1	checking for accuracy	\N	\N
17	1	classify data	\N	\N
18	1	classifying records	\N	\N
19	1	coaching individuals	\N	\N
20	1	collaborating ideas	\N	\N
21	1	collecting money	\N	\N
22	1	"compare, inspect, or record facts"	\N	\N
23	1	comparing results	\N	\N
24	1	compiling statistics	\N	\N
25	1	comprehending ideas	\N	\N
26	1	conducting interviews	\N	\N
27	1	conducting meetings	\N	\N
28	1	confronting other people	\N	\N
29	1	construct or repair	\N	\N
30	1	constructing buildings	\N	\N
31	1	coordinating schedules/times	\N	\N
32	1	coping with deadlines	\N	\N
33	1	counseling/consulting people	\N	\N
34	1	"count, observe, compile"	\N	\N
35	1	create new ideas	\N	\N
36	1	creating meaningful and challenging work	\N	\N
37	1	creating new ideas	\N	\N
38	1	"creative, artistic"	\N	\N
39	1	critical thinking	\N	\N
40	1	dealing with data	\N	\N
41	1	deciding uses of money	\N	\N
42	1	defining a problem	\N	\N
43	1	defining performance standards	\N	\N
44	1	delegating responsibilities	\N	\N
45	1	design	\N	\N
46	1	detail-oriented	\N	\N
47	1	determining a problem	\N	\N
48	1	"developing a climate of enthusiasm, teamwork, and cooperation"	\N	\N
49	1	developing plans for projects	\N	\N
50	1	direct others	\N	\N
51	1	direct projects	\N	\N
52	1	dispensing information	\N	\N
53	1	displaying artistic ideas	\N	\N
54	1	distributing products	\N	\N
55	1	drafting reports	\N	\N
56	1	dramatizing ideas	\N	\N
57	1	"draw, sketch, render"	\N	\N
58	1	drive or operate vehicles	\N	\N
59	1	edit	\N	\N
60	1	edit a picture	\N	\N
61	1	edit a video	\N	\N
62	1	editing work	\N	\N
63	1	encouraging others	\N	\N
64	1	enduring long hours	\N	\N
65	1	enforcing rules and regulations	\N	\N
66	1	entertaining people	\N	\N
67	1	estimating physical space	\N	\N
68	1	evaluating programs	\N	\N
69	1	expressing feelings	\N	\N
70	1	expressing ideas orally to individuals or groups	\N	\N
71	1	finding information	\N	\N
72	1	follow instructions	\N	\N
73	1	gathering information	\N	\N
74	1	generating accounts	\N	\N
75	1	get results	\N	\N
76	1	good with my hands	\N	\N
77	1	google efficiently	\N	\N
78	1	handling complaints	\N	\N
79	1	handling detail work	\N	\N
80	1	imagining new solutions	\N	\N
81	1	inspecting physical objects	\N	\N
82	1	interacting with people at different levels	\N	\N
83	1	interpreting languages	\N	\N
84	1	interviewing prospective employees	\N	\N
85	1	inventing new ideas	\N	\N
86	1	investigate	\N	\N
87	1	investigating problems	\N	\N
88	1	keep financial records	\N	\N
89	1	knowledge of community/government affairs	\N	\N
90	1	knowledge of concepts and principles	\N	\N
91	1	leadership	\N	\N
92	1	listening to others	\N	\N
93	1	locate answers or information	\N	\N
94	1	locating missing information	\N	\N
95	1	maintaining a high level of activity	\N	\N
96	1	maintaining accurate records	\N	\N
97	1	maintaining emotional control under stress	\N	\N
98	1	making decisions	\N	\N
99	1	managing an organization	\N	\N
100	1	managing people	\N	\N
101	1	math	\N	\N
102	1	measuring boundaries	\N	\N
103	1	mediate problems	\N	\N
104	1	mediating between people	\N	\N
105	1	meeting new people	\N	\N
106	1	meeting people	\N	\N
107	1	motivating others	\N	\N
108	1	negotiating/arbitrating conflicts	\N	\N
109	1	off-bearing or feeding machinery	\N	\N
110	1	operate a computer	\N	\N
111	1	operate tools and machinery	\N	\N
112	1	operating equipment	\N	\N
113	1	overseeing operations	\N	\N
114	1	performing numeric analysis	\N	\N
115	1	persuading others	\N	\N
116	1	picking out important information	\N	\N
117	1	plan	\N	\N
118	1	planning agendas/meetings	\N	\N
119	1	planning organizational needs	\N	\N
120	1	predicting futures	\N	\N
121	1	prefer details	\N	\N
122	1	preparing written communications	\N	\N
123	1	prioritizing work	\N	\N
124	1	promoting events	\N	\N
125	1	proposing ideas	\N	\N
126	1	providing customers with service	\N	\N
127	1	providing discipline when necessary	\N	\N
128	1	public speaking	\N	\N
129	1	questioning others	\N	\N
130	1	raising funds	\N	\N
131	1	reading volumes of material	\N	\N
132	1	recommending courses of action	\N	\N
133	1	rehabilitating people	\N	\N
134	1	relating to the public	\N	\N
135	1	remembering information	\N	\N
136	1	repair things	\N	\N
137	1	reporting information	\N	\N
138	1	resolving conflicts	\N	\N
139	1	run meetings	\N	\N
140	1	running meetings	\N	\N
141	1	safety conscious	\N	\N
142	1	screening telephone calls	\N	\N
143	1	selling ideas	\N	\N
144	1	selling products	\N	\N
145	1	serving individuals	\N	\N
146	1	setting priorities	\N	\N
147	1	setting up demonstrations	\N	\N
148	1	setting work/committee goals	\N	\N
149	1	sketching charts or diagrams	\N	\N
150	1	skillfully applying professional knowledge	\N	\N
151	1	solve problems	\N	\N
152	1	speaking to the public	\N	\N
153	1	summarizing information	\N	\N
154	1	supervising employees	\N	\N
155	1	supporting others	\N	\N
156	1	take inventory	\N	\N
157	1	taking independent action	\N	\N
158	1	taking personal responsibility	\N	\N
159	1	teaching/instructing/training individuals	\N	\N
160	1	team builder	\N	\N
161	1	thinking in a logical manner	\N	\N
162	1	thinking of creative ideas	\N	\N
163	1	tolerating interruptions	\N	\N
164	1	understand the big picture	\N	\N
165	1	updating files	\N	\N
166	1	use complex equipment	\N	\N
167	1	use equipment	\N	\N
168	1	use my hands	\N	\N
169	1	working with people	\N	\N
170	1	write clearly	\N	\N
171	1	writing for publication	\N	\N
172	1	writing letters/papers/proposals	\N	\N
173	1	writing reports	\N	\N
174	1	assemble or make things	\N	Alert
175	1	research	\N	"creates ideas, identifies problems, solves problem, gathers information, evaluate information, citing sources, meets goals, identifies resourcess, defines needs, analyzes issues, develops strategies, assesses situations"
176	1	interpersonal skills	\N	"works well with others, self-confident, accepts responsibilitysensitive, supportive, motivates others, shares credit, counsels, cooperates, delegates effectively, represents others, understands feelings, "
177	2	adventurous	\N	\N
178	2	affectionate	\N	\N
179	2	aggressive	\N	\N
180	2	alert	\N	\N
181	2	ambitious	\N	\N
182	2	assertive	\N	\N
183	2	attractive	\N	\N
184	2	be a respectful house guest	\N	\N
185	2	being photogenic	\N	\N
186	2	bold	\N	\N
187	2	broad-minded	\N	\N
188	2	businesslike	\N	\N
189	2	calm	\N	\N
190	2	careful	\N	\N
191	2	cautious	\N	\N
192	2	charming	\N	\N
193	2	cheerful	\N	\N
194	2	clear-thinking	\N	\N
195	2	clever	\N	\N
196	2	competent	\N	\N
197	2	competitive	\N	\N
198	2	confident	\N	\N
199	2	conscientious	\N	\N
200	2	conservative	\N	\N
201	2	considerate	\N	\N
202	2	cool	\N	\N
203	2	cooperative	\N	\N
204	2	courageous	\N	\N
205	2	creative	\N	\N
206	2	curiosity	\N	\N
207	2	"dance, body movement"	\N	\N
208	2	daring	\N	\N
209	2	decisive	\N	\N
210	2	deliberate	\N	\N
211	2	democratic	\N	\N
212	2	dependable	\N	\N
213	2	determined	\N	\N
214	2	dignified	\N	\N
215	2	discreet	\N	\N
216	2	do push-ups and sit-ups properly	\N	\N
217	2	dominant	\N	\N
218	2	eager	\N	\N
219	2	easygoing	\N	\N
220	2	efficient	\N	\N
221	2	emotional	\N	\N
222	2	energetic	\N	\N
223	2	enterprising	\N	\N
224	2	enthusiastic	\N	\N
225	2	expressive	\N	\N
226	2	fair-minded	\N	\N
227	2	farsighted	\N	\N
228	2	firm	\N	\N
229	2	flexibility	\N	\N
230	2	flexible	\N	\N
231	2	forceful	\N	\N
232	2	formal	\N	\N
233	2	frank	\N	\N
234	2	friendly	\N	\N
235	2	generous	\N	\N
236	2	gentle	\N	\N
237	2	good-natured	\N	\N
238	2	happinness	\N	\N
239	2	healthy	\N	\N
240	2	helpful	\N	\N
241	2	honest	\N	\N
242	2	humorous	\N	\N
243	2	idealistic	\N	\N
244	2	imaginative	\N	\N
245	2	independent	\N	\N
246	2	individualistic	\N	\N
247	2	industrious	\N	\N
248	2	informal	\N	\N
249	2	ingenious	\N	\N
250	2	intellectual	\N	\N
251	2	intelligent	\N	\N
252	2	intentive	\N	\N
253	2	leisurely	\N	\N
254	2	lighthearted	\N	\N
255	2	likable	\N	\N
256	2	loyal	\N	\N
257	2	mature	\N	\N
258	2	methodical	\N	\N
259	2	meticulous	\N	\N
260	2	mild	\N	\N
261	2	moderate	\N	\N
262	2	modest	\N	\N
263	2	music appreciation	\N	\N
264	2	natural	\N	\N
265	2	obliging	\N	\N
266	2	opportunistic	\N	\N
267	2	optimistic	\N	\N
268	2	original	\N	\N
269	2	painstaking	\N	\N
270	2	patience	\N	\N
271	2	peaceable	\N	\N
272	2	persevering	\N	\N
273	2	persuasive	\N	\N
274	2	play instruments	\N	\N
275	2	pleasant	\N	\N
276	2	poised	\N	\N
277	2	polite	\N	\N
278	2	practical	\N	\N
279	2	precise	\N	\N
280	2	pressure-resistant	\N	\N
281	2	productive	\N	\N
282	2	progressive	\N	\N
283	2	prudent	\N	\N
284	2	punctual	\N	\N
285	2	purposeful	\N	\N
286	2	quick	\N	\N
287	2	quiet	\N	\N
288	2	rational	\N	\N
289	2	realistic	\N	\N
290	2	reasonable	\N	\N
291	2	reflective	\N	\N
292	2	relaxation	\N	\N
293	2	relaxed	\N	\N
294	2	reliable	\N	\N
295	2	reserved	\N	\N
296	2	resourceful	\N	\N
297	2	responsible	\N	\N
298	2	retiring	\N	\N
299	2	robust	\N	\N
300	2	self-confident	\N	\N
301	2	self-motivated	\N	\N
302	2	sense of humor	\N	\N
303	2	sensible	\N	\N
304	2	serious	\N	\N
305	2	sharp-witted	\N	\N
306	2	sincere	\N	\N
307	2	sociable	\N	\N
308	2	spontaneous	\N	\N
309	2	spunky	\N	\N
310	2	stable	\N	\N
311	2	steady	\N	\N
312	2	strong	\N	\N
313	2	strong-minded	\N	\N
314	2	sympathetic	\N	\N
315	2	take risks	\N	\N
316	2	teachable	\N	\N
317	2	tenacious	\N	\N
318	2	thorough	\N	\N
319	2	thoughtful	\N	\N
320	2	tie a necktie	\N	\N
321	2	tolerant	\N	\N
322	2	tough	\N	\N
323	2	trusting	\N	\N
324	2	trustworthy	\N	\N
325	2	unaffected	\N	\N
326	2	unassuming	\N	\N
327	2	understanding	\N	\N
328	2	unexcitable	\N	\N
329	2	uninhibited	\N	\N
330	2	verbal	\N	\N
331	2	versatile	\N	\N
332	2	warm	\N	\N
333	2	wholesome	\N	\N
334	2	wise	\N	\N
335	2	witty	\N	\N
336	2	general conscientiousness	Accept Constructive Criticism	\N
337	2	active	\N	"becoming actively involved, stand up"
